"ID","Title","Post Type","province_code","province_type"
"35","Hà Nội","province","01","Tỉnh"
"39","Hà Giang","province","02","Tỉnh"
"40","Cao Bằng","province","04","Tỉnh"
"41","Bắc Kạn","province","06","Tỉnh"
"42","Tuyên Quang","province","08","Tỉnh"
"43","Lào Cai","province","10","Tỉnh"
"44","Điện Biên","province","11","Tỉnh"
"45","Lai Châu","province","12","Tỉnh"
"46","Sơn La","province","14","Tỉnh"
"47","Yên Bái","province","15","Tỉnh"
"48","Hoà Bình","province","17","Tỉnh"
"49","Thái Nguyên","province","19","Tỉnh"
"50","Lạng Sơn","province","20","Tỉnh"
"51","Quảng Ninh","province","22","Tỉnh"
"52","Bắc Giang","province","24","Tỉnh"
"53","Phú Thọ","province","25","Tỉnh"
"54","Vĩnh Phúc","province","26","Tỉnh"
"55","Bắc Ninh","province","27","Tỉnh"
"56","Hải Dương","province","30","Tỉnh"
"57","Hải Phòng","province","31","Thành phố Trung ương"
"58","Hưng Yên","province","33","Tỉnh"
"59","Thái Bình","province","34","Tỉnh"
"60","Hà Nam","province","35","Tỉnh"
